hpo_id,name,definition,synonyms,text_for_embedding
HP:0000001,All,,[],All.  
HP:0000002,Abnormality of body height,Deviation from the norm of height with respect to that which is expected according to age and gender norms.,['Abnormality of body height'],Abnormality of body height. Deviation from the norm of height with respect to that which is expected according to age and gender norms. Abnormality of body height
HP:0000003,Multicystic kidney dysplasia,"Multicystic dysplasia of the kidney is characterized by multiple cysts of varying size in the kidney and the absence of a normal pelvicaliceal system. The condition is associated with ureteral or ureteropelvic atresia, and the affected kidney is nonfunctional.","['Multicystic dysplastic kidney', 'Multicystic kidneys', 'Multicystic renal dysplasia']","Multicystic kidney dysplasia. Multicystic dysplasia of the kidney is characterized by multiple cysts of varying size in the kidney and the absence of a normal pelvicaliceal system. The condition is associated with ureteral or ureteropelvic atresia, and the affected kidney is nonfunctional. Multicystic dysplastic kidney. Multicystic kidneys. Multicystic renal dysplasia"
HP:0000005,Mode of inheritance,The pattern in which a particular genetic trait or disorder is passed from one generation to the next.,['Inheritance'],Mode of inheritance. The pattern in which a particular genetic trait or disorder is passed from one generation to the next. Inheritance
HP:0000006,Autosomal dominant inheritance,"A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in heterozygotes. In the context of medical genetics, an autosomal dominant disorder is caused when a single copy of the mutant allele is present. Males and females are affected equally, and can both transmit the disorder with a risk of 50% for each child of inheriting the mutant allele.","['Autosomal dominant', 'monoallelic_autosomal', 'Autosomal dominant form', 'Autosomal dominant type']","Autosomal dominant inheritance. A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in heterozygotes. In the context of medical genetics, an autosomal dominant disorder is caused when a single copy of the mutant allele is present. Males and females are affected equally, and can both transmit the disorder with a risk of 50% for each child of inheriting the mutant allele. Autosomal dominant. monoallelic_autosomal. Autosomal dominant form. Autosomal dominant type"
HP:0000007,Autosomal recessive inheritance,"A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in individuals with two pathogenic alleles, either homozygotes (two copies of the same mutant allele) or compound heterozygotes (whereby each copy of a gene has a distinct mutant allele).","['Autosomal recessive', 'biallelic_autosomal', 'Autosomal recessive form', 'Autosomal recessive predisposition']","Autosomal recessive inheritance. A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in individuals with two pathogenic alleles, either homozygotes (two copies of the same mutant allele) or compound heterozygotes (whereby each copy of a gene has a distinct mutant allele). Autosomal recessive. biallelic_autosomal. Autosomal recessive form. Autosomal recessive predisposition"
HP:0000008,Abnormal morphology of female internal genitalia,An abnormality of the female internal genitalia.,['Abnormality of female internal genitalia'],Abnormal morphology of female internal genitalia. An abnormality of the female internal genitalia. Abnormality of female internal genitalia
HP:0000009,Functional abnormality of the bladder,Dysfunction of the urinary bladder.,['Poor bladder function'],Functional abnormality of the bladder. Dysfunction of the urinary bladder. Poor bladder function
HP:0000010,Recurrent urinary tract infections,Repeated infections of the urinary tract.,"['Frequent urinary tract infections', 'Recurrent UTIs', 'Repeated bladder infections', 'Repeated urinary tract infections', 'Urinary tract infections', 'Urinary tract infections, recurrent']","Recurrent urinary tract infections. Repeated infections of the urinary tract. Frequent urinary tract infections. Recurrent UTIs. Repeated bladder infections. Repeated urinary tract infections. Urinary tract infections. Urinary tract infections, recurrent"
HP:0000011,Neurogenic bladder,"A type of bladder dysfunction caused by neurologic damage. Neurogenic bladder can be flaccid or spastic. Common manifestatios of neurogenic bladder are overflow incontinence, frequency, urgency, urge incontinence, and retention.",['Lack of bladder control due to nervous system injury'],"Neurogenic bladder. A type of bladder dysfunction caused by neurologic damage. Neurogenic bladder can be flaccid or spastic. Common manifestatios of neurogenic bladder are overflow incontinence, frequency, urgency, urge incontinence, and retention. Lack of bladder control due to nervous system injury"
